"effect","group","term","estimate","std.error","statistic","p.value"
"fixed",NA,"(Intercept)",4.96,0.35,14.11,0
"fixed",NA,"TypeTwoSentences",-1.17,0.31,-3.78,0
"fixed",NA,"TaskMemoryAll",-3.89,0.34,-11.32,0
"fixed",NA,"TaskMemoryLast",-0.92,0.46,-2,0.045
"fixed",NA,"TaskSentiment",-2.48,0.58,-4.28,0
"fixed",NA,"TaskComprehensionQ",-2.61,0.43,-6.06,0
"fixed",NA,"ConditionS",0.67,0.27,2.48,0.013
"fixed",NA,"TaskMemoryAll:ConditionS",0.74,0.27,2.81,0.005
"fixed",NA,"TaskMemoryLast:ConditionS",0.21,0.37,0.57,0.571
"ran_pars","Subject","sd__(Intercept)",1.7,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).ConditionS",0.44,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskMemoryAll",-0.98,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskMemoryLast",-0.74,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskSentiment",-0.78,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskComprehensionQ",-0.93,NA,NA,NA
"ran_pars","Subject","sd__ConditionS",0.67,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskMemoryAll",-0.36,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskMemoryLast",-0.36,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskSentiment",-0.8,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskComprehensionQ",-0.58,NA,NA,NA
"ran_pars","Subject","sd__TaskMemoryAll",1.6,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskMemoryLast",0.81,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskSentiment",0.77,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskComprehensionQ",0.94,NA,NA,NA
"ran_pars","Subject","sd__TaskMemoryLast",2.11,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryLast.TaskSentiment",0.82,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryLast.TaskComprehensionQ",0.85,NA,NA,NA
"ran_pars","Subject","sd__TaskSentiment",2.69,NA,NA,NA
"ran_pars","Subject","cor__TaskSentiment.TaskComprehensionQ",0.93,NA,NA,NA
"ran_pars","Subject","sd__TaskComprehensionQ",2.01,NA,NA,NA
"ran_pars","Set","sd__(Intercept)",0.04,NA,NA,NA
