Regression Term,Beta_LH_IFG_orb,SE_LH_IFG_orb,p.value.FDR_LH_IFG_orb,pLabel_LH_IFG_orb,Beta_LH_IFG,SE_LH_IFG,p.value.FDR_LH_IFG,pLabel_LH_IFG,Beta_LH_MFG,SE_LH_MFG,p.value.FDR_LH_MFG,pLabel_LH_MFG,Beta_LH_AntTemp,SE_LH_AntTemp,p.value.FDR_LH_AntTemp,pLabel_LH_AntTemp,Beta_LH_PostTemp,SE_LH_PostTemp,p.value.FDR_LH_PostTemp,pLabel_LH_PostTemp,Beta_RH_IFG_orb,SE_RH_IFG_orb,p.value.FDR_RH_IFG_orb,pLabel_RH_IFG_orb,Beta_RH_IFG,SE_RH_IFG,p.value.FDR_RH_IFG,pLabel_RH_IFG,Beta_RH_MFG,SE_RH_MFG,p.value.FDR_RH_MFG,pLabel_RH_MFG,Beta_RH_AntTemp,SE_RH_AntTemp,p.value.FDR_RH_AntTemp,pLabel_RH_AntTemp,Beta_RH_PostTemp,SE_RH_PostTemp,p.value.FDR_RH_PostTemp,pLabel_RH_PostTemp
(Intercept),0.296117484767069,0.047731443999743,<.001,***,0.513354179638264,0.0527684199649573,<.001,***,0.829953679974182,0.05608460778355,<.001,***,0.313311941891747,0.0365265288328222,<.001,***,0.717295074907393,0.040463608868721,<.001,***,0.106326359157104,0.0391066288810456,0.007,**,0.324288119656248,0.0441061046708989,<.001,***,0.491460019828315,0.0592353209424196,<.001,***,0.215484410385101,0.0311400546790645,<.001,***,0.416137381059743,0.0405031610982843,<.001,***
EffectsN.N:TasksButtonPress.Task,0.00740401360755712,0.030325711595957,0.942,,0.0319686950185248,0.0254696977180282,0.504,,0.0428539095750253,0.0273702112875637,0.504,,-0.00160732466827457,0.0221601247474055,0.942,,0.00325714642840611,0.0194182372870994,0.942,,0.0266695780800424,0.0286996169284925,0.504,,-0.0301733540333244,0.0271073592599672,0.504,,0.0356812835517493,0.0306255223494351,0.504,,0.0374678055070445,0.0209515016606405,0.504,,-0.0219214422578805,0.0216963345192319,0.504,
EffectsN.N:TasksTask.Task,0.183139267921765,0.0299967073083952,<.001,***,0.288066717828643,0.025193266177084,<.001,***,0.180769810177971,0.0270752888970528,<.001,***,0.121860786240104,0.0219179621792329,<.001,***,0.114345827801011,0.0192074390794685,<.001,***,0.181716245055107,0.0283893654980045,<.001,***,0.197325440956817,0.026814879807643,<.001,***,0.206613994435991,0.0302956693396419,<.001,***,0.14748824099408,0.020723499046299,<.001,***,0.0921622374432627,0.021461151538736,<.001,***
EffectsN.S,0.039579357573107,0.0333986138471228,0.505,,-0.0303372227965531,0.0280505644446299,0.505,,0.0104377909967833,0.030143141438336,0.911,,-0.0524689984733607,0.0244060598508434,0.32,,-0.0376323131503107,0.0213859156114371,0.39,,0.00147868753999262,0.0316074753103048,0.966,,-0.0307359550421709,0.0298537546109099,0.505,,-0.00141777158494535,0.0337282222646092,0.966,,-0.0275398863061893,0.0230746939490104,0.505,,0.0152767744973428,0.0238947703229782,0.747,
EffectsN.S:TasksButtonPress.Task,-0.0443557055378059,0.0166218268239336,0.027,*,0.0693295749169453,0.0139603271048967,<.001,***,0.046569590793025,0.0150026077230435,0.01,*,-0.0165254855420389,0.0121457606152428,0.29,,-0.0105827584059612,0.0106434191788994,0.356,,0.0065635516908351,0.0157305671763407,0.676,,-0.02304942713569,0.0148582695192736,0.29,,0.0237770465012901,0.0167869590733686,0.29,,0.0126047575240288,0.0114834913851207,0.34,,-0.0132444311037923,0.0118921336023793,0.34,
EffectsN.S:TasksTask.Task,0.0185305663818905,0.0165894039873437,0.33,,0.19259450794342,0.0139332228156279,<.001,***,0.145064305463063,0.0149765602220368,<.001,***,-0.00888150023898961,0.0121196644089105,0.516,,-0.00503247129141397,0.0106226925293897,0.636,,0.059195052303454,0.0157009766225173,<.001,***,0.122669984806441,0.0148316338424168,<.001,***,0.12459105881613,0.0167579498719808,<.001,***,0.0516350881390063,0.0114600081977146,<.001,***,0.0392436007465656,0.0118694035234298,0.001,**
EffectsN.S:TypesOneSentence.TwoSentences,-0.0368934813300391,0.00700023691705966,<.001,***,-0.0945325669839204,0.00587967738616535,<.001,***,-0.126169229461232,0.00632015900093532,<.001,***,-0.0532549088525666,0.0051140993055715,<.001,***,-0.109158042339852,0.00448266640536935,<.001,***,0.000668802107167963,0.00662495128026265,0.92,,-0.0322371340202334,0.00625868982059228,<.001,***,0.0221643701530177,0.00707185310702666,0.002,**,-0.0223525746912702,0.00483564731373729,<.001,***,-0.0454270491496521,0.00500872874030233,<.001,***
EffectsS.S,0.384662824029152,0.0348048072043643,<.001,***,0.37582357745074,0.0292315738847481,<.001,***,0.403876520392726,0.0314131662389038,<.001,***,0.305767972578181,0.0254329791440262,<.001,***,0.340514349871966,0.0222863063837646,<.001,***,0.0976502674778421,0.0329386727854971,0.003,**,0.107234676027967,0.0311113848797372,<.001,***,0.121475017889666,0.035149357817893,<.001,***,0.174363417138042,0.0240459303320213,<.001,***,0.246584863244376,0.024900921105931,<.001,***
EffectsS.S:TasksButtonPress.Task,-0.0199949976459638,0.0189171091043974,0.416,,0.00367140155130535,0.0158882404643133,0.838,,-0.0393585666261815,0.0170750724134926,0.07,,0.0260764134531845,0.0138226533371168,0.148,,-0.0184850188606902,0.0121132604449442,0.254,,0.0716772410456198,0.0179027597806763,<.001,***,0.0159033478158696,0.0169104977650241,0.434,,0.025745732155934,0.0191059191730327,0.297,,0.0456593281969057,0.0130690180707151,0.002,**,-0.00277064699026273,0.013534462403474,0.838,
EffectsS.S:TasksTask.Task,0.14312542709993,0.019110863334836,<.001,***,0.205540065448682,0.016051421782731,<.001,***,0.117908494477601,0.0172536621155857,<.001,***,0.1257020106772,0.0139619442171659,<.001,***,0.112119193575123,0.0122376105491172,<.001,***,0.154146926770634,0.0180867001234764,<.001,***,0.259029794929879,0.0170861775938055,<.001,***,0.154895856360059,0.0193058177203131,<.001,***,0.12394748108054,0.0132016893588247,<.001,***,0.120226489450861,0.013673762627233,<.001,***
EffectsS.S:TypesOneSentence.TwoSentences,0.00253117885838922,0.0113238999941002,0.823,,-0.00294998586209978,0.00951097691693439,0.823,,-0.0885179593558741,0.0102217245032855,<.001,***,0.0165666157817064,0.00827405889600596,0.09,,-0.0287584582661223,0.00725120251975365,<.001,***,0.0184363790508104,0.0107165232667496,0.142,,-0.0247811340232317,0.0101229726496879,0.035,*,-0.00472225654977102,0.0114374201262386,0.823,,0.0444682182270116,0.00782301890027893,<.001,***,-0.00799881596369353,0.00810196792548148,0.463,
EffectsS.S:TypesTwoSentences.TwoSentences,0.212344419700369,0.0144456295785278,<.001,***,0.254273310371832,0.0121333130873397,<.001,***,0.126013454556412,0.0130426800834697,<.001,***,0.2067202578335,0.0105531490133746,<.001,***,0.143992841350155,0.00925043163721952,<.001,***,0.163221404955925,0.0136712492189383,<.001,***,0.133711489270841,0.0129156782760941,<.001,***,0.103340719471859,0.0145939310376685,<.001,***,0.18915809028865,0.00997865898209674,<.001,***,0.118055011347674,0.0103360550743723,<.001,***
